Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C8",0402,5,100n,C1525
"C10, C9",0402,2,10p,C32949 
C11,0805,1,10µ,C440198
C12,0603,1,100n,C14663
"C13, C14",0805,2,22µ,C45783
C5,0603,1,10µ,C19702 
C6,0402,1,10n,C15195
C7,0603,1,1µ,C15849
"D1, D3",D_SOD-123,2,B5819W,C8598
D2,0603,1,red,C2286
J1,header_90degree_01x06_back,1,Conn_01x06_Pin,
J2,4pin,1,Debug,
J4,USB_C_Receptacle,1,USB_C_Receptacle_USB2.0_16P,C709357
L1,L_APV_APH0420,1,4µ7,C133193
R1,0603,1,10k,C25804 
"R5, R6",0402,2,2k2,C25879
R7,0402,1,1k,C11702
R8,2512,1,50 mOhm,C154681
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U2,TSOT-23-6,1,AP63203WU,C780769
U3,OLED_display_0_66,1,0.66inch OLED display,
U4,SOT-23-8,1,INA219AxDCN,C87469
"U5, U6, U7",JLC_tooling_hole,3,~,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C112972
